genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Data;9f121a0c;347700;28975;10342;0.3569;28643;0.9885
AudioBook;9f121b0c;347775;28981;4738;0.1635;14285;0.4929
Trance;9f121e0c;348000;29000;4733;0.1632;16164;0.5573
AudioBook;9f12200b;348150;31650;5489;0.1734;16743;0.5290
Jazz;9f123c0a;350250;35025;10872;0.3104;39384;1.1244
Disco;9f123e0b;350400;31854;3252;0.1020;12374;0.3884
;9f12420b;350700;31881;10353;0.3247;34296;1.0757
AudioBook;9f12430b;350775;31888;7983;0.2503;29735;0.9324
Speech;9f12440c;350850;29237;5072;0.1734;19433;0.6646
Trance;9f124e0b;351600;31963;4078;0.1275;13023;0.4074
Krimi;9f12510b;351825;31984;4027;0.1259;13136;0.4107
Gospel;9f12580c;352350;29362;14324;0.4878;47776;1.6271
Humor;9f12600b;352950;32086;29464;0.9182;101145;3.1522
Dance;9f126e0d;354000;27230;4587;0.1684;17257;0.6337
Trance;9f12710b;354225;32202;4154;0.1290;12267;0.3809
Speech;9f12740e;354450;25317;8988;0.3550;37259;1.4716
Speech;9f12780c;354750;29562;5450;0.1843;15880;0.5371
Trance;9f12890b;356025;32365;6120;0.1890;24971;0.7715
Electronic;9f128f0e;356475;25462;8880;0.3487;34275;1.3460
Other;9f12930d;356775;22298;14095;0.6321;45341;2.0333
Speech;9f129910;357225;22326;681;0.0305;2953;0.1322
Psychedelic;9f129b0a;357375;35737;3913;0.1095;10954;0.3065
Pop;9f12a00d;357750;27519;9668;0.3513;38096;1.3843
Trance;9f12a50c;358125;29843;8933;0.2993;29336;0.9829
Psychedelic;9f12a90b;358425;32584;2882;0.0884;10529;0.3231
Christmas;9f12b21d;359100;12382;3549;0.2866;17895;1.4451
Psychedelic;9f12b40a;359250;35925;6435;0.1791;19215;0.5348
Hitmix;9f12b915;359625;17125;68453;3.9972;321788;18.7905
Rock;a006f50b;133725;12156;7123;0.5859;22995;1.8915
Draaiorgel;a007150c;136125;11343;2134;0.1881;7130;0.6285
Piano;a007290b;137625;12511;2539;0.2029;9860;0.7880
Lo;a007510b;140625;12784;5719;0.4473;18815;1.4717
Punk;a007710c;143025;10216;4677;0.4578;15479;1.5151
Musical;a007740c;143250;11937;2381;0.1994;7862;0.6585
Rock;a007800c;144150;12012;1625;0.1353;5065;0.4216
Bolero;a007e50c;151725;12643;770;0.0609;2461;0.1946
Bolero;a007e80c;151950;12662;649;0.0512;2257;0.1782
Reggae;a007ec0c;152250;12687;3087;0.2433;9190;0.7243
Volksmusik;a007f60c;153000;12750;2189;0.1717;7540;0.5913
Bolero;a008050c;154125;12843;976;0.0760;3330;0.2592
Latin;a0080c0d;154650;11896;1763;0.1482;7108;0.5975
Speech;a008271e;156675;5222;2040;0.3908;8947;1.7131
Soundtrack;a008350c;157725;13143;1710;0.1301;5762;0.4383
Rock;a0083c0c;158250;13187;2749;0.2085;9811;0.7439
R;a008430d;158775;12213;2856;0.2339;13463;1.1023
Rock;a008550c;160125;13343;8749;0.6557;35655;2.6720
instructional;a0085d0c;160725;13393;8283;0.6184;33674;2.5141
Data;a008620b;161100;14645;3782;0.2582;14077;0.9611
Tribal;a008730c;162375;13531;504;0.0372;1858;0.1373
bandas;a0087e0c;163200;13600;1379;0.1014;4213;0.3097
Christian;a008910d;164625;12663;3869;0.3055;12251;0.9674
Pop;a008a20d;165900;12761;2682;0.2101;11315;0.8866
Pop;a008d10b;169425;15402;3752;0.2436;12514;0.8124
Schlager;a008d10c;169425;14118;1430;0.1013;5037;0.3567
Karaoke;a008d40c;169650;14137;1464;0.1035;4403;0.3114
Power;a008dd0c;170325;14193;2949;0.2077;9823;0.6920
Italo;a008f40b;172050;15640;1377;0.0880;5067;0.3239
Rock;a008fe0c;172800;14400;2457;0.1706;9403;0.6529
Country;a0093f0b;177675;16152;2497;0.1546;8243;0.5103
Indie;a009490c;178425;14868;4360;0.2932;16691;1.1225
Country;a009610b;180225;16384;2785;0.1700;9856;0.6015
Easy;a009620c;180300;15025;1880;0.1251;6997;0.4656
Rockabilly;a0096a0b;180900;16445;4069;0.2474;15589;0.9479
CORRIDOS;a009700c;181350;15112;2487;0.1646;9478;0.6271
Pop;a009720b;181500;16500;2845;0.1724;10895;0.6603
Folk;a009750b;181725;16520;3274;0.1982;13003;0.7870
Swing;a0097a0e;182100;13007;1207;0.0928;4497;0.3457
Disco;a0098c0c;183450;15287;1667;0.1090;5428;0.3550
;a0099e0c;184800;15400;2494;0.1619;9193;0.5969
Oldie;a009a50c;185325;15443;2382;0.1542;7848;0.5081
;a009b00c;186150;15512;1640;0.1057;5510;0.3551
Folk;a009cc0c;188250;15687;4342;0.2768;16464;1.0494
Folk;a009d10c;188625;15718;6604;0.4201;25427;1.6176
alt;a009d20c;188700;15725;2260;0.1437;7506;0.4773
Soul;a009e40b;190050;17277;1695;0.0981;5625;0.3255
Hip;a009ea0c;190575;15881;4439;0.2795;17555;1.1053
Pop;a009f00c;190950;15912;2913;0.1831;10981;0.6900
Swing;a009fe0c;192000;16000;5109;0.3193;21150;1.3218
Musical;a00a020c;192300;16025;5402;0.3371;17395;1.0854
Pop;a00a0e0c;193200;16100;2755;0.1711;9877;0.6134
;a00a110c;193425;16118;2529;0.1569;8270;0.5130
